number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
5,2,2150,7171,1,0,0,4,7,1460,690,1970,0,122067,52.6252,-114.366,1710,7300,3,79,279950
5,2,3370,4850,2,0,0,3,9,3370,0,2007,0,122053,52.7378,-114.359,2900,5570,3,61,540000
4,2,1780,8768,1,0,0,4,7,1050,730,1951,0,122022,52.9385,-114.473,1590,8100,1,64,518000
2,1,820,4206,1,0,0,3,5,820,0,1949,0,122022,52.9376,-114.474,1810,7200,3,75,510000
4,2,2280,39848,2,0,0,4,8,2280,0,1991,0,122069,52.7303,-114.655,1900,38472,1,66,416500
4,2,1960,30480,1,0,2,4,7,1060,900,1972,0,122068,52.4224,-114.178,1460,8914,1,64,275000
2,1,910,6232,1,0,0,3,6,910,0,1943,0,122051,52.7628,-114.462,1070,6232,3,62,155000
3,2,3050,33920,1,0,0,3,8,3050,0,2004,0,122005,52.9334,-114.262,1970,60984,2,69,840000
3,1,1710,5992,2,0,0,4,7,1560,150,1928,0,122028,52.9161,-114.544,1240,3001,1,65,650000
2,2,1370,5125,1,0,0,5,6,1370,0,1944,0,122028,52.9226,-114.536,1200,5100,3,80,409950
3,2,2450,15001,1,0,0,3,7,1980,470,1989,0,122041,52.9257,-114.103,1790,15323,3,75,399950
2,1,1120,217800,1,0,0,3,6,1120,0,1976,0,122055,52.9678,-114.102,1480,217800,2,76,290000
4,2,2578,4554,2,0,0,3,9,2578,0,2014,0,122023,52.4903,-114.384,2647,4554,1,71,400950
4,2,2620,6114,2,0,0,3,9,2620,0,2011,0,122011,52.7903,-114.203,2620,5808,1,70,675000
3,2,1280,974,3,0,0,3,7,1280,0,2003,0,122022,52.9462,-114.483,1420,1422,3,64,281000
4,2,2650,6000,2,0,0,3,9,2650,0,2000,0,122024,52.6068,-114.218,2630,6381,2,77,428400
3,2,2060,7251,1,0,0,3,7,1350,710,1987,0,122065,52.5869,-114.365,1520,7582,1,64,290000
3,2,3940,10360,2,0,0,3,9,3110,830,1992,0,122005,52.8768,-114.306,2720,11941,1,75,933399
2,1,860,5040,1,0,0,3,7,860,0,1956,0,122007,52.9277,-114.555,1570,5040,3,54,370000
3,3,1400,7880,1,0,0,3,7,1000,400,1981,0,122053,52.7395,-114.383,1400,7279,1,70,311000
5,2,2690,5557,2,0,0,3,7,2690,0,2012,0,122063,52.7214,-114.443,2090,10500,3,54,279000
5,2,1830,94960,2,0,0,3,7,1830,0,1929,0,122067,52.6518,-114.408,1440,16365,3,75,220000
4,2,2750,11830,2,0,0,3,9,2750,0,2014,0,122015,52.6998,-114.311,2310,11830,2,79,627000
5,4,4400,15580,2,0,0,3,11,3390,1010,2003,0,122048,52.8532,-114.397,2150,14249,2,75,1800000
3,2,2200,16921,2,0,0,3,8,2200,0,1987,0,122024,52.6027,-114.241,2060,16921,3,75,410000
3,2,2920,9370,1,0,0,4,8,1620,1300,1981,0,122027,52.7791,-114.341,2890,9609,2,80,650000
3,2,2030,14400,1,0,0,4,7,1310,720,1969,0,122039,52.4939,-114.475,1330,14400,1,66,250000
4,2,2720,7697,1,0,0,4,8,2120,600,1987,0,122046,52.6691,-114.351,2340,7700,1,70,348000
4,3,4240,11189,2,0,2,3,10,4240,0,2006,0,122010,52.8826,-114.381,3390,12540,2,69,1660000
4,2,3620,16000,2,0,0,3,9,3620,0,1976,0,122024,52.6011,-114.25,2590,16000,2,68,480000
4,2,4240,43995,2,0,0,3,10,4240,0,1989,0,122020,52.8308,-114.234,3720,59522,1,53,1160000
4,2,2940,48788,1,0,0,5,7,1520,1420,1961,0,122058,52.9722,-114.435,2470,14900,2,66,605000
3,2,2080,11375,1,0,0,3,8,2080,0,2002,0,122068,52.444,-114.183,1080,12899,3,75,342500
4,4,2980,2147,2,0,0,3,10,2490,490,2006,0,122011,52.7763,-114.185,2880,2428,3,61,690000
4,4,3010,3600,2,0,0,3,9,2370,640,1999,0,122047,52.8641,-114.474,2650,4200,1,61,1280000
3,2,2270,8876,1,0,0,3,7,1380,890,1977,0,122046,52.6953,-114.366,2150,7455,2,51,332000
4,1,1200,7200,2,0,0,3,6,1200,0,1944,0,122063,52.7251,-114.438,1070,6050,3,60,227000
3,2,1190,4750,1,0,0,3,7,970,220,1940,0,122026,52.9026,-114.576,1460,4750,3,75,500000
2,1,790,11234,1,0,0,4,6,790,0,1942,0,122031,52.6713,-114.539,1930,11871,1,62,250275
3,2,1410,2500,2,0,0,3,7,1410,0,2006,0,122052,52.7432,-114.548,1290,5190,3,50,265000
4,4,2690,5564,2,0,0,3,7,2690,0,2007,0,122024,52.5837,-114.208,2210,4046,1,57,359950
3,2,2560,4000,2,0,0,5,8,1660,900,1927,0,122047,52.8684,-114.469,2560,4000,1,62,1090000
4,2,2100,3671,2,0,0,3,8,1750,350,1929,0,122047,52.8659,-114.49,1800,4560,3,59,840000
3,2,1520,7456,1,0,0,3,7,1520,0,1949,0,122031,52.7045,-114.533,1740,8464,2,62,167000
3,2,2110,7279,1,0,0,4,9,2110,0,1984,0,122010,52.8969,-114.36,2130,7279,2,67,716125
3,4,1690,1765,2,0,0,3,8,1370,320,2006,0,122028,52.8836,-114.53,1690,1694,1,68,622000
3,3,2390,9966,1,0,0,5,8,1360,1030,1977,0,122027,52.7733,-114.375,2140,10713,1,56,565000
4,2,1840,9600,1,0,0,3,7,1220,620,1967,0,122005,52.8879,-114.315,1770,9720,1,78,538000
